exercise_id,lesson_id,question_text,correct_answer
1,1,Translate: Goodbye,Me encanta aprender idiomas
2,2,Translate: How are you?,¿Cómo estás?
3,3,Translate: How are you?,Buenos días
4,4,Translate: Goodbye,No
5,5,Translate: How are you?,Me encanta aprender idiomas
6,6,Translate: Thank you,Gracias
7,7,Translate: Hello,No
8,8,Translate: Good morning,Adiós
9,9,Translate: Please,Agua
10,10,Translate: Water,Buenos días
11,11,Translate: Goodbye,Hola
12,12,Translate: Thank you,No
13,13,Translate: Water,Gracias
14,14,Translate: I love learning languages,Me encanta aprender idiomas
15,15,Translate: Water,Hola
16,16,Translate: Goodbye,Agua
17,17,Translate: I love learning languages,No
18,18,Translate: No,¿Cómo estás?
19,19,Translate: Thank you,Agua
20,20,Translate: Thank you,Me encanta aprender idiomas
21,21,Translate: How are you?,Adiós
22,22,Translate: Good morning,Me encanta aprender idiomas
23,23,Translate: How are you?,Buenos días
24,24,Translate: Please,Hola
25,25,Translate: Please,Sí
26,26,Translate: Hello,Agua
27,27,Translate: Hello,Por favor
28,28,Translate: Good morning,¿Cómo estás?
29,29,Translate: Yes,Por favor
30,30,Translate: Yes,No
31,31,Translate: I love learning languages,¿Cómo estás?
32,32,Translate: Please,No
33,33,Translate: Water,Agua
34,34,Translate: Thank you,Sí
35,35,Translate: Please,Por favor
36,36,Translate: No,Por favor
37,37,Translate: Water,No
38,38,Translate: I love learning languages,¿Cómo estás?
39,39,Translate: How are you?,¿Cómo estás?
40,40,Translate: How are you?,Adiós
41,41,Translate: Please,Por favor
42,42,Translate: Goodbye,Por favor
43,43,Translate: I love learning languages,Me encanta aprender idiomas
44,44,Translate: Hello,No
45,45,Translate: How are you?,Sí
46,46,Translate: Water,Gracias
47,47,Translate: Water,Adiós
48,48,Translate: Yes,Por favor
49,49,Translate: Thank you,Por favor
50,50,Translate: No,¿Cómo estás?
51,51,Translate: Thank you,¿Cómo estás?
52,52,Translate: Good morning,Por favor
53,53,Translate: Hello,Agua
54,54,Translate: Good morning,No
55,55,Translate: Hello,Me encanta aprender idiomas
56,56,Translate: Water,Adiós
57,57,Translate: Goodbye,Adiós
58,58,Translate: No,Me encanta aprender idiomas
59,59,Translate: No,¿Cómo estás?
60,60,Translate: Hello,Adiós
61,61,Translate: Yes,Adiós
62,62,Translate: I love learning languages,Adiós
63,63,Translate: Thank you,Agua
64,64,Translate: Thank you,Agua
65,65,Translate: Please,No
66,66,Translate: Please,Sí
67,67,Translate: Please,Gracias
68,68,Translate: Thank you,Adiós
69,69,Translate: Thank you,Por favor
70,70,Translate: Good morning,¿Cómo estás?
71,71,Translate: Yes,Gracias
72,72,Translate: Goodbye,Sí
73,73,Translate: I love learning languages,Gracias
74,74,Translate: Please,Adiós
75,75,Translate: Yes,Por favor
76,76,Translate: No,Agua
77,77,Translate: Thank you,Agua
78,78,Translate: Goodbye,¿Cómo estás?
79,79,Translate: How are you?,Me encanta aprender idiomas
80,80,Translate: Yes,Buenos días
81,81,Translate: I love learning languages,Me encanta aprender idiomas
82,82,Translate: How are you?,Buenos días
83,83,Translate: Thank you,Me encanta aprender idiomas
84,84,Translate: Thank you,¿Cómo estás?
85,85,Translate: How are you?,Adiós
86,86,Translate: I love learning languages,Adiós
87,87,Translate: Water,Agua
88,88,Translate: How are you?,Me encanta aprender idiomas
89,89,Translate: Good morning,Gracias
90,90,Translate: Thank you,Gracias
91,91,Translate: Thank you,Por favor
92,92,Translate: Please,No
93,93,Translate: I love learning languages,Por favor
94,94,Translate: How are you?,Me encanta aprender idiomas
95,95,Translate: Hello,Gracias
96,96,Translate: Goodbye,Me encanta aprender idiomas
97,97,Translate: Water,Agua
98,98,Translate: How are you?,Adiós
99,99,Translate: Hello,Sí
100,100,Translate: Good morning,Buenos días
101,101,Translate: I love learning languages,Adiós
102,102,Translate: Yes,Hola
103,103,Translate: Water,Me encanta aprender idiomas
104,104,Translate: Thank you,Me encanta aprender idiomas
105,105,Translate: Thank you,Buenos días
106,106,Translate: Good morning,Gracias
107,107,Translate: Water,Me encanta aprender idiomas
108,108,Translate: Goodbye,¿Cómo estás?
109,109,Translate: Water,Gracias
110,110,Translate: Hello,Sí
